야간,금,0,36,0,3,0,경기,화성시,차대차,측면충돌,중앙선 침범,단일로,기타단일로,승용차,승합차
야간,금,0,33,0,18,0,전남,영암군,차대사람,차도통행중,과속,단일로,기타단일로,승용차,보행자
야간,월,1,57,0,0,12,전남,곡성군,차량단독,전도전복,안전운전 의무 불이행,단일로,기타단일로,자전거,없음
야간,일,2,38,16,1,0,대구,달성군,차대차,측면충돌,중앙선 침범,단일로,기타단일로,승용차,승합차
주간,목,1,62,17,0,0,전남,고흥군,차대차,정면충돌,중앙선 침범,단일로,기타단일로,화물차,화물차
주간,목,2,87,14,1,0,경북,영천시,차대차,추돌,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차
야간,수,1,227,0,0,0,충남,아산시,차대차,추돌,안전거리 미확보,단일로,기타단일로,승합차,화물차
주간,월,0,167,31,5,0,충남,서천군,차대차,추돌,안전운전 의무 불이행,단일로,기타단일로,승용차,특수차
주간,일,0,17,0,21,4,강원,평창군,차대차,측면충돌,기타(운전자법규위반),단일로,기타단일로,건설기계,승합차
주간,수,129,64,61,0,0,충북,음성군,차대사람,횡단중,과속,교차로,교차로내,승용차,보행자
주간,수,1,2,1,0,0,경남,의령군,차대차,차도통행중,과로,교차로,교차로내,이륜차,화물차
야간,화,2,3,1,0,0,대전,중구,차대차,추돌,과로,단일로,기타단일로,원동기장치자전거,없음
야간,화,1,1,0,0,0,대구,북구,차대차,전도,직진 및 우회전차의 통행방해,단일로,기타단일로,승용차,화물차
야간,화,1,1,0,0,0,울산,울주군,차대차,차도통행중,과로,단일로,기타단일로,승용차,보행자
주간,화,1,5,1,3,0,경기,수원시,차대차,전도,신호위반,단일로,교량위,화물차,승용차
주간,화,1,1,0,0,0,전북,완주군,차대차,전복,신호위반,교차로,교차로횡단보도내,승합차,보행자
주간,화,1,6,3,2,0,경남,거창군,건널목,횡단중,정비불량 제차의 운전금지위반,교차로,교차로내,승용차,승합차
야간,화,1,1,0,0,0,충남,천안시,건널목,전도전복,보행자 보호의무 위반,단일로,기타단일로,승용차,보행자
주간,화,1,11,2,8,0,충남,서산시,차대차,공작물충돌,보행자 보호의무 위반,단일로,기타단일로,화물차,승용차
주간,화,1,1,0,0,0,전남,곡성군,차대차,횡단중,서행 및 일시정지위반,교차로,교차로내,승합차,보행자
야간,토,1,11,0,0,10,경기,의왕시,차대차,추돌,안전운전 의무 불이행,주차장,불명,승용차,화물차
주간,화,1,13,3,9,0,경기,평택시,차대차,추돌,안전운전 의무 불이행,불명,기타단일로,건설기계,화물차
주간,화,1,1,0,0,0,전남,광양시,차대사람,보도통행중,안전운전 의무 불이행,주차장,기타,불명,보행자
야간,목,1,2,0,1,0,경기,평택시,차대차,측면충돌,신호위반,지하도로내,기타,승용차,승용차
야간,목,1,2,0,1,0,충남,당진시,차량단독,공작물충돌,안전운전 의무 불이행,주차장,지하차도(도로)내,이륜차,건설기계
야간,월,1,1,0,0,0,전북,익산시,차대사람,기타,보행자 보호의무 위반,고가도로위,교차로부근,승용차,열차
야간,월,1,2,0,1,0,경남,하동군,차대차,추돌,과속,기타,기타단일로,원동기장치자전거,사륜오토바이(ATV)
야간,월,1,2,1,0,0,서울,동대문구,차대차,측면충돌,안전운전 의무 불이행,단일로,기타단일로,사륜오토바이(ATV),승용차
야간,수,1,1,0,0,0,경기,평택시,차량단독,기타,안전운전 의무 불이행,교차로,불명,원동기장치자전거,승합차
주간,수,2,5,1,2,0,충남,홍성군,차대차,추돌,안전운전 의무 불이행,불명,기타단일로,승용차,열차
주간,수,9,10,0,0,0,인천,함안군,차대차,측면충돌,중앙선 침범,단일로,기타단일로,자전거,화물차
야간,월,0,2,1,2,0,전북,과천시,차대차,기타,안전운전 의무 불이행,단일로,기타단일로,승용차,화물차
야간,일,1,2,22,0,0,대구,곡성군,차대차,측면충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차
